category,n_items,n_orders,n_sellers,gmv,gmv_share,mean_price,median_price,freight_total,mean_freight,freight_to_price_ratio,mean_weight_g,mean_volume_litres,freight_per_kg,mean_route_distance_km,late_rate,mean_delivery_days,mean_handling_days,mean_transit_days,mean_photos,mean_description_length,mean_review_score,detractor_rate,suppress_small_n,analysis_start,analysis_end
fashio_female_clothing,47,38,11,2748.7400000000002,0.00020298318570599334,58.48382978723405,49.0,607.0199999999999,12.915319148936167,0.2208357283700895,552.1276595744681,4.881510638297871,23.391907514450864,429.848614982886,0.06818181818181818,11.751447811447811,4.144698284932658,7.316822653619531,3.25531914893617,588.3404255319149,3.723404255319149,0.19148936170212766,false,2017-01-01,2018-08-31
dvds_blu_ray,64,59,10,5999.389999999993,0.0004430303682751653,93.74046874999989,19.9,1288.74,20.1365625,0.21481183920365263,487.734375,1.8237812500000008,41.28592023065834,765.7475306957259,0.06557377049180328,12.959461900425016,2.4604436095931996,10.080885511536128,1.515625,1022.8125,4.079365079365079,0.1746031746031746,false,2017-01-01,2018-08-31
fashion_childrens_clothes,8,8,4,569.8499999999999,4.208108747082673e-05,71.23124999999999,69.945,95.51000000000002,11.938750000000002,0.1676055102219883,265.0,7.267874999999999,45.051886792452834,591.557907534669,0.0,8.81947585978836,1.4056911375661374,6.951400462962963,2.625,302.125,4.5,0.125,true,2017-01-01,2018-08-31
security_and_services,2,2,2,283.28999999999996,2.0919805685023262e-05,141.64499999999998,141.64499999999998,41.22,20.61,0.14550460658688977,812.5,10.2335,25.366153846153846,1392.6841690521424,0.0,15.138153935185183,0.9146701388888889,13.484791666666666,2.5,483.5,2.5,0.5,true,2017-01-01,2018-08-31
bed_bath_table,11107,9412,195,1036509.6900000714,0.07654199338291219,93.32040064824628,79.05,204565.45000000263,18.41770505086906,0.19735990118914232,2117.3596830827405,16.62533681462136,8.698430029636748,510.804415091396,0.07035175879396985,12.806740110485114,2.77120093946163,9.63855054523462,1.4970739173494192,446.6928963716575,3.8988518316019682,0.18853654091488975,false,2017-01-01,2018-08-31
sports_leisure,8622,7701,478,984715.3300000422,0.07271719213055329,114.20961841800536,78.85,168014.04000000108,19.486666666666792,0.17062194004839334,1736.725933658084,13.539319995360788,11.22034645133779,596.9831710981838,0.06323546891715202,12.14157748727717,2.3867526419650282,9.356841020675724,2.192298770586871,1091.4810948735792,4.107217939733707,0.14599392665265126,false,2017-01-01,2018-08-31
home_appliances,771,764,48,80171.52999999988,0.00592033897797667,103.98382619974045,47.59,14818.900000000032,19.220363164721185,0.18483993008490737,1933.6070038910507,13.737158236057056,9.940160087361868,555.4538961270359,0.04509283819628647,11.290280694321654,2.654388584954317,8.248321682508104,1.8897535667963683,518.2088197146563,4.162760416666667,0.12369791666666667,false,2017-01-01,2018-08-31
stationery,2517,2311,173,230943.2299999958,0.01705421121773288,91.75336909018506,79.0,46798.479999999894,18.59295987286448,0.2026406229790791,2751.5148986889153,21.103267381803686,6.7573538786666,558.7665859748104,0.06772100567721005,12.736812792871941,2.7289963081238175,9.628144383992677,2.8907429479539135,405.0969408025427,4.196078431372549,0.13005202080832334,false,2017-01-01,2018-08-31
uncategorized,1601,1449,257,179469.3899999979,0.013253079054006895,112.09830730793122,69.99,28139.77999999997,17.57637726420985,0.15679431461822152,1651.8806818181818,11.794315025252528,10.754416358153133,563.2757142900082,0.0749185667752443,12.784690470804676,3.2703985477741564,9.100731881107478,,,3.8374291115311907,0.22180214240705734,false,2017-01-01,2018-08-31
books_general_interest,552,511,54,46737.380000000194,0.0034513640009428384,84.66916666666702,44.9,9170.480000000009,16.613188405797118,0.19621296700841961,759.1847826086956,4.860688405797102,21.882931252535396,583.2970933936247,0.061567164179104475,11.613084145246004,2.7131511712272,8.400779263405203,1.8025362318840579,1083.8097826086957,4.445255474452555,0.08576642335766424,false,2017-01-01,2018-08-31
costruction_tools_tools,103,97,24,15903.949999999986,0.0011744415391447827,154.40728155339792,59.99,2030.2199999999993,19.71087378640776,0.12765507939851428,1161.7669902912621,7.232135922330098,16.966288378933992,607.1033845736542,0.05825242718446602,12.0754149811219,2.334664127112549,9.425178780115063,2.7281553398058254,701.9417475728155,4.444444444444445,0.08080808080808081,false,2017-01-01,2018-08-31
garden_tools,4342,3513,237,483896.58000001375,0.035733779608343404,111.44555043758953,59.9,98857.44000000009,22.767719944725954,0.20429456228022377,2823.0087517273146,18.521933901428273,8.065054679974004,652.0133854478629,0.06568144499178982,13.721656564126263,2.7179731632435806,10.51255541871917,2.197604790419162,718.6895439889452,4.045243619489559,0.15986078886310906,false,2017-01-01,2018-08-31
cool_stuff,3788,3624,263,634179.8499999996,0.046831583293999765,167.41812302006326,129.99,83822.99000000017,22.12856124604017,0.13217542310749894,2548.841605068638,21.36717872228099,8.681811063518115,651.7722453496524,0.05847480463486931,12.352655462488917,2.466109823023653,9.448965020160317,2.270063357972545,882.5110876451954,4.148108684070325,0.1307938199254129,false,2017-01-01,2018-08-31
